h.f13.s2	x.0.m.cx	x.0.m.cy	x.0.m.majoraxis	x.0.m.eccentricity	x.0.m.theta	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.cx	x.a.m.cy	x.a.m.majoraxis	x.a.m.eccentricity	x.a.m.theta	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.cx	x.Ba.m.cy	x.Ba.m.majoraxis	x.Ba.m.eccentricity	x.Ba.m.theta	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2
C11	0.302192836667461	869.20498392283	137.189710610932	65.8615886139655	0.515593285936593	-0.308572560797874	2488	487	27.3527299377156	6.46123680629023	12.3758097118113	43.8359187282046	0.440416745476326	0.168097089523063	0.19768	0.113725490196078	0.172549019607843	0.447058823529412	0.709803921568627	0.788745098039216	869.700065851162	136.92615364794	65.3760335772356	0.517242905431833	-0.286411650667645	0.373901537011126	0.601593933588349	0.579881225530353	-1.05219481752488	-0.696904388271723	0.394900645275554	1.34952106361566	1.6487105043438	869.235042953346	136.011275870978	70.4486003117375	0.450712543352525	-0.258923331303452	0.00334465839540986	34.2421900872061	0.394110801121634	29.2577987448828	0.243020732323577	28.4126283254222	800.000411226086	1.55724885810208	2.57525539043092	34.2421900872061	1.10224236608557	0.048985191896506	0.348287709570109	0.00307198693061491	45.9101599247413	0.183372142246174	29.1095969778817	0.185069349499527	28.0305738476011	769.277174013131	1.52116144320512	2.59246116840096	45.9101599247413	1.16188250687228	0.0362690978734837
C12	0.290631238381762	969.469476744186	145.487645348837	48.2573195990634	0.55041209478538	-1.50301405514629	1376	318	20.6107609366542	3.62250401690984	12.4396064881618	29.8179239628538	0.401316689466484	0.145442646358746	0.156981176470588	0.0931372549019608	0.17843137254902	0.392156862745098	0.648039215686275	0.725490196078431	970.170693254932	144.929389123241	48.2972535062924	0.551327076098126	1.56922243075869	0.321937334181782	0.519575116210832	0.524757103216225	-0.944856044028247	-0.543567821762734	0.348290742193413	1.10283523049167	1.52361063520681	970.954110052199	144.882200872297	52.6207621670392	0.538498999325517	1.46783298789001	0.00449486960940188	25.7856275303644	0.3941842032447	22.2817391593864	0.246607034489973	25.9026315789474	654.957119191036	1.49739054174687	2.46773285836777	25.7856275303644	1.04309645952279	0.0498155617632945	0.34416323307759	0.00444230803468105	37.5392405063291	0.098316392136616	21.8161932738699	0.187954435189121	26.3476793248945	666.150511382107	1.43934781126325	2.45491288725392	37.5392405063291	1.11813220565958	0.0353129384334185
C13	0.273434355397333	748.231492842536	165.078118609407	64.2481813846778	0.453059673336607	1.01300567469992	2445	447	27.469720873318	6.6259831228601	14.4474144757707	49.5153992703328	0.43143670556157	0.156977577139823	0.191865882352941	0.137254901960784	0.196078431372549	0.43921568627451	0.690196078431373	0.768627450980392	748.065255213948	164.923889363917	63.3413086822513	0.436843370579295	0.982056984891368	0.334997125015129	0.536158057106948	0.535790109807387	-0.915384817974176	-0.554576374984877	0.342538726557005	1.20931986785275	1.52481679108449	747.470640044068	164.627415574621	70.6858384085585	0.467060482403387	1.02254235453493	0.00373476083022382	33.8434072084173	0.309234393980037	25.4970268593821	0.2310549434138	27.9573539288113	763.406633952442	1.51379263833207	2.52396326042631	33.8434072084173	1.09880317591406	0.0333923598944194	0.286603569341809	0.00415591727907421	44.0431688804554	0.0790752722242269	24.9124694733895	0.188241421793599	28.0052182163188	756.169189916846	1.46162236150396	2.48899648904289	44.0431688804554	1.1509492800354	0.0307411219788397
C14	0.299496224833719	68.8545826932924	196.269841269841	53.9426170953407	0.370968879764718	-0.22180246702951	1953	312	24.6155695771092	3.21465507345772	16.4627390927282	33.4954452927307	0.414463419776513	0.149510662764083	0.168609411764706	0.117647058823529	0.172549019607843	0.411764705882353	0.656470588235293	0.752941176470588	69.1469751803458	196.06923147731	53.6252947630769	0.338929578697137	-0.185660914343995	0.320613682932007	0.504895050205478	0.489468941088637	-0.893395877766113	-0.542958649649838	0.350958082917198	1.11060709487809	1.48772137505395	68.5727889739605	196.62211999855	58.046996369426	0.264692104577343	-0.53660529878885	0.00400524733912808	29.5754337265788	0.33382753960909	23.1980309042076	0.243496332951038	26.7873698820264	698.72832035025	1.49880269327489	2.50541722931951	29.5754337265788	1.07130024778095	0.0404822349243476	0.313595663335301	0.00373316849878043	40.5526011560694	0.134290092208856	24.4215877576932	0.190532117275692	26.8323699421965	696.187986963359	1.47385584754471	2.52516693426949	40.5526011560694	1.13621845680492	0.0365369910578642
C15	0.311859471033427	185.037019230769	213.996153846154	60.1503782674238	0.421157694038287	1.02791979158645	2080	371	25.1616491392104	5.63218297199963	12.4634282389779	38.4529341999989	0.426496983408748	0.152314905704318	0.177330588235294	0.137254901960784	0.196078431372549	0.417647058823529	0.694117647058824	0.752941176470588	185.916172297028	213.62046115625	60.4922833342237	0.440903633045984	0.952388178155324	0.348811175100255	0.479134905122605	0.488431572911099	-0.698169047574029	-0.420244216750874	0.347551429070167	1.14625745913975	1.46946203858868	185.24477496096	213.353062605492	67.0083375424886	0.46372991001161	0.951883840820217	0.00387995621473429	29.8800633328935	0.346685129934054	23.8680416610428	0.2371195043264	27.7143422615121	748.593157458984	1.50363730823571	2.50435470618399	29.8800633328935	1.07590709540311	0.035169632001288	0.292835000347067	0.00408553108895664	37.1902082160945	0.202531079669158	24.3176536840242	0.20086358705291	27.8497467642093	751.610234653038	1.47684726239052	2.48687210317857	37.1902082160945	1.11931680461172	0.0403133980012457
C16	0.267285227960324	328.302144249513	214.260038986355	64.3948056396219	0.366855867302058	1.17468197859979	2565	455	27.5338954412657	5.5072571562492	12.5090207276697	37.934222937803	0.419500821771204	0.167471942703704	0.203494117647059	0.117647058823529	0.164705882352941	0.427450980392157	0.68549019607843	0.772549019607843	328.42122565009	213.793986551743	63.7019154548704	0.371422155922901	0.97287347502505	0.342140201059322	0.539046722138692	0.535844944201768	-0.986321524974294	-0.607037302321711	0.372665488540701	1.16912712708298	1.44448716702669	328.412694830857	214.007437204242	71.0183671723882	0.447463104670561	0.963384976654261	0.00332733692365374	37.7351706319302	0.317812558900616	28.6574797178312	0.22832666671669	27.2410377866293	733.468052278921	1.53941713657059	2.56518957379206	37.7351706319302	1.12326124580423	0.0362139764244529	0.300451734521768	0.00334762389077479	47.1693811074919	0.117902142305175	27.7370454967205	0.173239201076963	26.974872033504	709.051098510571	1.49404987975112	2.55136564955002	47.1693811074919	1.16708732314771	0.0286358446153947
C17	0.304012525516625	439.326086956522	230.692219679634	55.5994602704219	0.576615542656456	-1.32410288452554	1748	450	22.4756507015127	4.91745589275317	11.2295927391166	35.8249661204426	0.407901467223045	0.152363433790147	0.174423529411765	0.119490196078431	0.172549019607843	0.396078431372549	0.658823529411765	0.737254901960784	439.731907731908	230.575493075493	54.9998093830224	0.557859784681712	-1.3483381596967	0.323885717089867	0.535295423626496	0.517273233357862	-0.961819727176894	-0.594736030247074	0.333350496670965	1.16568646360094	1.49746250858388	439.584791441621	230.72932563874	60.3177935959555	0.58442600998886	-1.2111345516998	0.0039205564935854	29.2741594932597	0.37575981776077	24.4478333229443	0.245452880763659	26.3633262952737	682.097569595555	1.51216141720333	2.50316164326545	29.2741594932597	1.06897585899391	0.0454531877884143	0.331513167916097	0.00409702185925961	36.8048951048951	0.155706612508969	22.7962710890508	0.192608142780499	26.320979020979	668.636456234472	1.45621948095604	2.46739573917836	36.8048951048951	1.11726154741605	0.0385461041037538
C18	0.279850370343424	667.285891089109	251.719678217822	78.0304812829855	0.61319260929368	1.18612808794009	3232	518	31.9889925780137	6.61880266908623	16.3233510538574	48.8734483312732	0.427057852844108	0.172735771506708	0.209308235294118	0.109803921568627	0.156862745098039	0.435294117647059	0.698039215686274	0.79878431372549	667.350606880249	251.951656987646	76.6380372098185	0.595599796756707	1.19174513386215	0.341652348530825	0.603178653665844	0.61144140897535	-1.06759220815626	-0.707352681841223	0.400520080829003	1.26766270887948	1.61977366319045	667.695221116155	252.789621259887	83.7182787529216	0.584970931273904	1.21515017394391	0.00339327185893373	36.5042355111969	0.388081170777422	30.8276779271313	0.243270633597443	27.5845005451648	759.776892717454	1.56584538160714	2.58160472409112	36.5042355111969	1.11482863113172	0.0474493041388602	0.343394310743526	0.00326892268390768	49.0376286829961	0.173994426932198	30.683594325441	0.189865315045745	27.0603478878239	721.702163210584	1.52595119254609	2.58208856438405	49.0376286829961	1.17502991043742	0.0310931340964929
C19	0.358390588305735	974.02969348659	236.074712643678	39.4968267635869	0.32260459601821	1.14144391236995	1044	295	18.147462788386	2.54889434276406	11.861482448323	24.8454174018445	0.400488317932537	0.136459842526878	0.145352941176471	0.125490196078431	0.180392156862745	0.384313725490196	0.631372549019608	0.723803921568627	974.691121574218	235.545076816297	40.2073024951076	0.344457166023901	0.827681299779012	0.350026748622719	0.474279027339983	0.469501696182041	-0.783578267410045	-0.490076712515543	0.362644934782094	1.06784684629425	1.48096337944992	975.063910378879	235.503431155641	44.8249205052394	0.408537927179527	0.30521045864822	0.00499632365104324	23.7480142426732	0.372623017921617	19.9264309347154	0.261578221596944	25.8110106820049	644.628438599035	1.46618106455132	2.41981159774837	23.7480142426732	1.02670499002877	0.0491474132062734	0.33879787376578	0.00541523356208671	30.9090909090909	0.193229672431002	20.1560657679539	0.219035709940032	25.0862470862471	605.074203052255	1.43547477561142	2.38393480886742	30.9090909090909	1.07898899253016	0.0560510861702496
C20	0.293194577599552	546.482649842271	254.705362776025	49.5415068205928	0.444057379897405	1.39311564217281	1585	242	22.9219080594306	3.95260445060569	13.5873449037716	35.699564657579	0.441031731304509	0.144577806913539	0.156981176470588	0.143843137254902	0.215686274509804	0.43921568627451	0.67843137254902	0.76078431372549	546.923109719838	254.278866112401	48.62777789104	0.462668616538893	1.36770630652594	0.332074719184887	0.444954731734962	0.427600317154979	-0.761913590126016	-0.464442631941832	0.357045760699252	1.03810159415105	1.3083664273827	546.431629605481	253.97767250651	55.1934394512569	0.531995641367209	1.41993559474324	0.00397852822451435	29.3998646820027	0.291135179698288	21.7372857560413	0.209248325550658	28.5943843031123	788.824102254015	1.47843283701303	2.49320464939294	29.3998646820027	1.07135726019798	0.0284420416029788	0.263454829741805	0.00410077231466664	36.621698786581	0.138472078472483	22.253924493619	0.191470310621557	28.1034975017844	758.806538400405	1.44993227661222	2.46816048728046	36.621698786581	1.11187268353686	0.0357662642772874
