Type	x.0.m.majoraxis	x.0.m.eccentricity	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.majoraxis	x.a.m.eccentricity	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.majoraxis	x.Ba.m.eccentricity	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2	h.f13.s2
19	spiky	0.468346407458113	-1.4248897037659	0.486410077692158	1.13038539856549	0.384277351264748	-0.106367107842339	0.206318714713756	0.352849525643577	0.257556076144387	0.961510938902051	0.932740181299411	-0.586321477612326	-0.620161523016959	0.434273081796206	0.597747020482683	0.51948679633386	0.489840113132462	-1.47938979560635	0.296563470567789	0.995934233935576	1.02781944432063	-0.76537689042036	-0.984865353261911	0.286817550717578	0.8322864652353	0.801010331061377	0.537744870944092	-0.897847853201781	-1.32647595204508	1.29649118647204	-0.519536695903044	1.07090657771953	-1.08381406487301	0.246263376703848	0.297632835858582	0.654585410179	0.82299678142962	1.29649118647204	0.976552350452222	-0.625946063713802	-0.523936547983749	-1.03531970258768	1.12026442424675	-0.924331257334597	0.819155344326202	-1.37525012007139	0.200999632977837	0.217307639638725	0.509544796244485	0.732403881922325	1.12026442424675	0.869666161974118	-0.698074471879008	-0.624414879663054
20	regular	1.06522313496687	-1.44306748049928	1.33733947245834	1.1755252113822	0.993394790704718	-0.0489800109419396	1.10655145015512	0.897357109304481	0.598151107445994	1.30114738616124	1.11068857126796	-0.962144050707359	-0.905869495271934	1.0514043437287	0.798802539326061	0.63245225574401	1.1040286045972	-1.01718278781092	0.0677527504355268	1.18324230187219	1.24826934787818	-1.49416886559069	-1.32594761376738	0.363502726440425	0.63299893007104	1.05058576644605	1.18790397708189	-0.159392113199777	-1.2394680118525	1.10469798708361	0.08842581106153	1.28925958104961	-0.826433020784037	0.587770703870155	0.661472624323547	0.796277817993448	0.83146641080991	1.10469798708361	0.867497773478767	-0.164056033470622	-0.0340762974888011	-1.29324766655268	1.16139660714409	-0.281106191654165	1.22922733451492	-1.0620773084788	0.613102831761186	0.664329711885871	0.742055639597678	0.892702664281207	1.16139660714409	0.909429835577717	-1.05713904813846	-0.954252423228763
21	regular	0.703085862980603	0.763766428468532	0.495436920992679	0.590893352791823	0.375975920017595	-0.0471858154278947	0.411960918616581	0.480080320422947	-0.000104613821566838	0.575224915271334	0.419546103388659	-0.658929050176785	-0.620161523016959	0.0609194091092036	0.256193263405002	0.261206092072989	0.723766551771332	0.747992067976272	0.151120954562311	0.872070822340316	1.0546152673217	-0.831918706026176	-0.906617782088826	0.267316848840868	0.641101817385977	0.789587845129182	0.761572983694423	0.62814451240481	-0.794712501282702	0.801001051385958	-0.396997141824741	0.60528095642633	-0.598263958678619	-0.0500983328857398	-0.0221003004434813	0.497259618626569	0.633684122001863	0.801001051385958	0.701857787645947	-0.475405380439831	-0.406084101403023	-0.747262650785385	0.676623499263705	-0.687395847316881	0.444963555592131	-0.805352378722052	-0.054792872298172	-0.0496661613991727	0.380333451742568	0.606963929464634	0.676623499263705	0.643288279352166	-0.864994339857063	-0.810384915243804
22	spiky	0.610552381002266	0.260374818421607	0.286214457611594	1.23434404343428	0.239374893401512	0.0158994168579077	-2.12138577801801	0.399739566520725	0.26263744954813	0.549055720991801	0.587122819912595	-0.717797842430045	-0.620161523016959	0.51009299932747	0.256193263405002	0.166738291680538	0.660621182946652	0.492100896470224	1.0486755927825	1.13771099898785	1.23498061635372	-1.14939771120017	-0.997192847778449	1.75451067640828	0.942873211265731	0.594679704555935	0.742774138977662	0.622565856863562	-0.511750069441151	0.648320463478434	-0.164358018962901	0.573913921125745	0.0734526718903666	0.300604727581875	0.320006903624557	0.50306377725394	0.528125895814146	0.648320463478434	0.589933349668715	0.17018749133657	0.265411932681197	-0.630767426507741	0.895011017313239	-1.02891873732989	0.526370100874683	-0.717856953273567	0.331704860945674	0.325838728089821	0.347343507508762	0.5438568294468	0.895011017313239	0.728876457615896	-0.500550823493136	-0.455535657338187
23	regular	0.531443157183843	0.126087267643487	0.381147795490855	0.646095759406738	0.355891569382854	-0.115838041878681	0.733251346834832	0.358467186805906	0.259738924788702	0.554513832318312	0.587122819912595	-0.34500923977964	-0.270343904078507	0.209106459950367	0.400969278635973	0.423465335719765	0.580630449012939	0.172353454067466	0.476279698178513	0.769920883522002	0.964592372761897	-0.510003972862096	-0.468087107974762	0.305003128439304	0.734525764307208	0.714063981481286	0.603478238589069	0.251818624443215	-0.845990244637703	0.881162650519807	-0.691240036945434	0.521223237204811	-0.998409712821304	0.245634564934094	0.250927877852113	0.427763723643894	0.609667336126582	0.881162650519807	0.745105070496846	-0.712150785098477	-0.649793971106849	-0.714186396502952	0.698177587317356	-0.590493391043942	0.514420202694489	-0.470429354751876	0.238071983773736	0.242343159248526	0.43372899526493	0.604348903670534	0.698177587317356	0.653335090886925	-0.341089428001873	-0.277473836929939
24	regular	1.17177705123778	-1.03219476481166	1.55887603815813	0.459443279887686	1.17341450931239	-0.167702526401494	2.1839130134956	0.99128224815216	1.52784749209019	1.1186531136804	0.932740181299383	-0.265361559463449	-0.0282812490609912	1.93867299809655	1.10840664945988	0.830462701751404	1.16433398187038	-1.35950727146007	-0.0869415454470727	0.688522605520621	0.742802136678246	-0.918836170492104	-0.916317365931981	0.225751117637116	0.325323531653316	0.25437109875391	1.17295986496508	-1.07910641680387	-1.20382420819446	1.113965632608	-0.224466440763814	1.06913320647039	-1.3310234567499	1.48781395157163	1.50940410983221	0.679792532223937	0.80330665232815	1.113965632608	0.887471643838919	-0.706746654276421	-0.609236359543701	-1.3618670827233	1.05459101631603	-0.245817951939319	1.12028380163533	-1.36813970564901	1.45098472459134	1.47789131391293	0.715260170765017	0.874676342689719	1.05459101631603	0.840551608762954	-1.45245784189929	-1.32146177238763
27	spiky	0.485092393038673	0.179073255914941	0.263122620530134	0.921377384688264	0.179161549082564	-0.0655092897932252	-0.1832996079582	0.308699413606434	0.115027608770508	0.497164899428814	0.587122819912595	-1.03546540642379	-0.620161523016959	0.358834490570377	0.16101272522916	0.0105593002533257	0.511920709888565	0.20641431601462	0.636212187285198	0.4530663199471	0.599487513171234	-0.307219813793379	-0.378526211443522	0.650982566370072	0.521082764872827	0.28162480032484	0.523224619280472	0.0619711372715345	-0.740617613378231	0.846831574714634	-0.642547672060281	0.512741191305095	-0.672950467920526	0.0843025111291627	0.0953168567324086	0.42891973494421	0.56670895991048	0.846831574714634	0.722333405150026	-0.54586423888251	-0.491400019151229	-0.81142911770333	0.997061221128409	-0.960985145372554	0.667195776686298	-0.574602424305152	0.185026322629091	0.191747744901428	0.436755436937368	0.65653534489353	0.997061221128409	0.817021283834401	-0.237020531048224	-0.155937980552037
28	regular	0.852025436016362	-0.339204067947576	0.979130828406987	0.67450194614482	0.627354813092838	-0.0105323513743345	0.0727413972037285	0.482895942762354	0.630096896402487	1.43753375395893	1.47664932429613	-0.774047315528303	-0.620161523016959	0.894868392326445	0.929208231660164	0.830462701751404	0.839768456227852	-0.529876337513148	-0.00634823553229341	1.32149886485058	1.30160448122098	-1.36653016407675	-1.44768160327569	0.0878673306635286	0.749752590268778	1.02113888152043	0.808215059596135	-1.04208773442748	-1.57717232299415	1.31675401419791	-0.0262007157213531	1.45890818579127	-1.03081563133735	0.590705518357275	0.67430888100472	0.850740367288319	0.923564307361462	1.31675401419791	0.987864017821771	-0.254107225733914	-0.112703739623673	-1.70862592176191	1.31556358023473	-0.156350368460499	1.50315630503693	-1.33642390990627	0.589292320564196	0.661964699837807	0.886038120234209	1.0067321260552	1.31556358023473	0.980223720823261	-0.597750904564745	-0.475881684133791
29	regular	0.803159431865858	0.0923840397215188	0.792282193501412	1.030821854252	0.610983039527106	-0.057407862437095	0.612858370574833	0.575794153892269	0.589556280527125	1.30339943913611	1.29200535739746	-0.774047315528303	-0.808211173757971	0.739828040364215	0.849734821692636	0.695914994975112	0.811508343277694	0.0165111217200768	0.394672589597363	1.40933797351849	1.46699489529927	-1.41509388658892	-1.35150995314289	0.618117297809434	1.13875357996773	0.989611715113965	0.904624233511546	0.347396613258489	-1.43731523373183	1.2523162804337	0.0135258832302438	1.41192368760722	-0.851507613791181	0.589799900600056	0.67074284836428	0.840557093290634	0.895621283224331	1.2523162804337	0.930011436545239	-0.133453417826105	0.013467426623638	-1.68974900544731	1.47508429858915	-0.427958788024462	1.51671517984151	-1.37314243475492	0.573220320993787	0.639403102283832	0.834122489833961	0.950670665419178	1.47508429858915	1.04566410314369	-0.739607361461682	-0.631419075676552
30	regular	1.38863845334896	-0.683709705389492	1.80833524406279	1.05755714729941	1.34708486234637	-0.0322360480213642	2.07245608409412	1.2405242023933	0.798936219674535	1.28906508407168	1.11068857126796	-0.595855108954668	-0.620161523016959	1.20942642803044	0.798802539326061	0.720885692212773	1.38801208603584	-0.974967883615778	-0.280632301388963	1.05227776975072	1.17808792076359	-1.2287555385149	-1.35712042179511	0.0571075646770687	0.595742624002454	0.556118405771463	1.39864056992726	-0.539756613258002	-1.28911575439983	1.07509265434213	0.0819116665531905	1.24770782187339	-1.00605224074187	0.787887224237596	0.852187384416749	0.771838002664061	0.815853572783343	1.07509265434213	0.855182085363977	-0.312075113843631	-0.197520912441173	-1.71550839486741	1.20618712145874	-0.184466747659254	1.34677864593386	-1.14837139855383	0.763102171249775	0.820798570290737	0.816044409531676	0.986973055477144	1.20618712145874	0.928131592413323	-1.26447119977713	-1.13766127008036
